subj_id,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,specimen_id
,F,F,F,F,F,F,F,F,F,F,F,F,F,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,
,d,d,d,d,d,d,d,v,v,v,v,v,v,v,d,d,d,d,d,d,d,v,v,v,v,v,v,v,
,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,
48,0.121275,0.132825,0.1518,0.177949650533515,-0.052537355126794,0.195540663929526,0.0693,0.10634,0.111248,0.068712,0.164873170952705,0.053621661872228,0.197139697088131,0.049898,0.120631,0.115189,0.147841,0.153065487684193,-0.040927438229561,0.181674160322815,0.057141,0.112468,0.105406038109581,0.092338459001226,0.168272334565133,-0.02711653314798,0.189563,0.034513703829059,0
49,0.129876,0.1233,0.158100573729666,0.165883184500419,-0.018591241115359,0.18642735289651,0.07562846725936,0.119541932354249,0.108372,0.060391208111608,0.165225102635768,0.051737567147886,0.193896840760751,0.03288102437577,0.129701,0.120631,0.132422,0.166181608278413,-0.03324412112449,0.1759883865515,0.060769,0.115300901215315,0.11284,0.100157012415712,0.16041831441578,0.037572021566909,0.184786025986815,0.040132960269584,0
50,0.105728,0.104902,0.147028,0.167513125837947,-0.019824,0.179513954978436,0.06608,0.093982580051616,0.09075,0.080818290696667,0.202991916403092,0.044338955821922,0.178217186671207,0.048786736158509,0.087979,0.087996914135616,0.134236,0.159840576803889,-0.012767931088513,0.17013444011722,0.057141,0.080812,0.083536,0.083754310699004,0.199793015453494,0.045749230769231,0.16927808713475,0.045842760998875,0
51,0.147854,0.161896,0.194936,0.409379466431818,0.057628487852606,0.231303598796041,0.092512,0.167458,0.145075,0.137614,0.393945998660984,0.062543944001391,0.231344477688576,0.096164,0.118686,0.115968,0.166704,0.399944359235132,0.053210636193069,0.218353518542752,0.085164,0.1274,0.13286,0.14014,0.384021078197538,0.059916965562172,0.216587646923826,0.07826,0
52,0.114126,0.117434,0.133974,0.22412310323793,-0.012893727603006,0.181114888118012,0.07443,0.114126,0.11578,0.085555777212554,0.225825520889469,0.013137231544502,0.18194751802649,0.064527201643958,0.102491,0.097956,0.116096,0.208659287655738,-0.001574047401932,0.174380037951596,0.061676,0.101584,0.098863,0.089793,0.225001821014853,0.002721,0.171444593878022,0.048978,0
53,0.129636,0.123819,0.1662,0.284300390863256,0.008211161381103,0.196413314887255,0.0831,0.114675,0.126225,0.107929926250937,0.244472989305567,0.013517001130776,0.195531961901373,0.063786959874257,0.114,0.108528,0.169226872344629,0.269301107194159,0.0003648,0.190188629565492,0.070229921828235,0.104765,0.114786,0.122074,0.237203128385778,-0.01608867464329,0.188632004055515,0.056482,0
54,0.120205,0.130982,0.130982,0.234623110754248,0.00712037305459,0.176958006784096,0.079584,0.122396,0.122396,0.097586,0.236558142343484,0.018453080495264,0.170460328419841,0.056236,0.10738,0.114882277916615,0.13195,0.220897696909678,0.005981681818879,0.16785738738584,0.07189,0.122476,0.106938,0.096533400167076,0.229503197799072,0.010485316790101,0.168978801274006,0.051257393808113,0
55,0.1386,0.141075,0.15675,0.185395691697515,-0.03682985887575,0.191031595881414,0.073425,0.129054,0.130698,0.120834,0.182643146819146,-0.058348214243341,0.189922917669248,0.076446,0.118892817860691,0.116058939775382,0.149330136854583,0.1769231314724,-0.030049195368828,0.184315254669818,0.065930852535061,0.110207208417,0.117750116837275,0.114143999891847,0.169349895863564,-0.057848405768871,0.182772302466758,0.062052151131125,0
56,0.131652,0.127043945560751,0.14904,0.208662571325094,-0.049353248736969,0.178043105477297,0.076176,0.1221,0.12375,0.109725,0.175959174952601,-0.02737347184771,0.176659837328692,0.0693,0.09919,0.10647,0.149853480036588,0.185749257064463,-0.051921516184871,0.178380891633605,0.067346148367965,0.10884,0.109747,0.113375,0.169647797701591,-0.032450178365693,0.177387497445564,0.065304,0
57,0.148749,0.14127,0.144594,0.19287973650179,-0.04390028904212,0.172848,0.063987,0.129839,0.121569,0.116607,0.173677876011886,-0.035083809567635,0.170562610041005,0.063679,0.106938,0.122476,0.136186,0.167900083442505,-0.050131587967655,0.167982160028975,0.058496,0.117003,0.113716300512065,0.117003,0.165163678936987,-0.036413281998171,0.165136282206546,0.053513,0
58,0.138109,0.138783778515459,0.14009141754091,0.182774484009667,-0.037636698705932,0.182308018704609,0.062938992429177,0.12705,0.127875,0.10526016089771,0.189864747912823,-0.011431925744576,0.18233246591049,0.067655030300784,0.117519,0.11843,0.143938,0.169925311334127,-0.041402330932179,0.171328561101178,0.060126,0.117261,0.117261,0.123624,0.172827173410318,-0.036451012400878,0.170930676474412,0.059085,0
59,0.129839,0.131255870179694,0.15137489638681,0.129276792364291,-0.050028974458046,0.173740871253715,0.075710032023504,0.126531,0.125749767354531,0.117434,0.145702286049327,-0.039759556231651,0.172874652604134,0.061198,0.114483859672654,0.104674120626847,0.139459378579276,0.118079461550263,-0.040813784436144,0.152968761386108,0.066946990522353,0.116864,0.10956,0.114516352338111,0.132498289456883,-0.037365438501879,0.153517088094453,0.05752624557539,0
60,0.128426,0.142332,0.150512,0.204213499308934,-0.052285131853383,0.211145432988734,0.0818,0.136144334972876,0.13035,0.107574258191157,0.207076643419773,-0.041615008224144,0.208267977915473,0.064371150370333,0.125442,0.119988,0.152331593855769,0.190157064349448,-0.042967268408602,0.191065226718521,0.071816752934117,0.134236,0.117003,0.127887,0.193669456822701,-0.050776406619067,0.190685830097572,0.073467,0
61,0.13202,0.141747298365319,0.18614,0.18572773729306,-0.046904908908003,0.186661252540531,0.08528,0.148146147939414,0.152168,0.110818,0.219156560371804,-0.044238736827752,0.1847544653344,0.075257,0.142272,0.140448,0.176928,0.169703081881267,-0.053208440597177,0.1697202351165,0.07296,0.135143,0.137864,0.127887,0.198025333056152,-0.048599435365623,0.168587366967398,0.068932,0
62,0.147317,0.153901,0.162131,0.200422045556371,-0.056101273821632,0.203287663858386,0.089707,0.152352,0.149321600107279,0.126684,0.218598272637274,-0.044738855099813,0.202942783108934,0.061272,0.125166,0.128794,0.15419,0.192155608078453,-0.049829184615385,0.18024671136251,0.078909,0.125166,0.130002826086919,0.142399,0.200971634697536,-0.046617894389855,0.180549963373023,0.064397,0
63,0.138264,0.138264,0.153901,0.153451434287855,-0.062968026854344,0.19015752941706,0.088884,0.138443,0.136785,0.111086,0.20579413651754,-0.020653169042181,0.192506580884914,0.072123,0.116678873028154,0.12726,0.148167,0.139317409859644,-0.059307180015486,0.174991353672117,0.08181,0.11403,0.12127,0.124515056176227,0.172097594550302,-0.041467575629781,0.169476805861451,0.061646378644654,0
64,0.161265,0.155476,0.181113,0.185591035069046,-0.062184517841857,0.191253472590696,0.09924,0.147854,0.147862937626533,0.13629,0.204596381756863,-0.031988312734026,0.190847116781994,0.080122,0.131515,0.120631,0.17233,0.167402324311821,-0.052401796028232,0.178826269258742,0.094328,0.120631,0.132422,0.139887440031859,0.191052181693903,-0.0318167266966,0.173353303891215,0.070751813863674,0
65,0.113988,0.11977,0.125552,0.140538990760571,-0.047527917356343,0.142957669622864,0.075166,0.12045,0.1188,0.133919176946862,0.143374461638048,-0.030979639473565,0.141959943734139,0.059422912247718,0.099397830003685,0.100788,0.128936,0.122633795603007,-0.045912329033478,0.126293628279498,0.067192,0.107144,0.102063890615244,0.133476,0.148001214697718,-0.024909499818753,0.126215266144789,0.05448,1
